dataset,genotype,camera,datetime,setup,filename,fly_id,is_male,total_frames,nan_frames,valid_frames,nan_percentage,recording_duration_sec,nan_time_sec,nan_time_min,frame_rate
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,3,False,432000,889,431111,0.20578703703703705,7199.983,14.81666598070829,0.24694443301180483,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,4,False,432000,833,431167,0.1928240740740741,7199.983,13.883332690584933,0.23138887817641554,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,5,False,432000,6740,425260,1.5601851851851851,7199.983,112.33332813270403,1.872222135545067,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-12T10,N/A,DGRP774_CamB_2026-01-12T10_46_09_trajectories.csv,6,True,432000,33454,398546,7.743981481481481,7199.983,557.5666408533353,9.292777347555589,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,1,False,432000,1976,430024,0.45740740740740743,7199.983,32.93333180863845,0.5488888634773075,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,2,False,432000,12694,419306,2.9384259259259258,7199.983,211.56665687189093,3.526110947864849,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,3,False,432000,16353,415647,3.785416666666667,7199.983,272.5499873819153,4.542499789698588,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,4,True,432000,66283,365717,15.343287037037037,7199.983,1104.7166155222583,18.411943592037638,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,5,False,432000,30166,401834,6.98287037037037,7199.983,502.76664339037825,8.379444056506305,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-13T08,N/A,DGRP774_CamB_2026-01-13T08_12_08_trajectories.csv,6,False,432000,2857,429143,0.6613425925925926,7199.983,47.61666446218626,0.793611074369771,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,1,False,432000,13216,418784,3.0592592592592593,7199.983,220.2666564691122,3.6711109411518703,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,2,False,432000,4118,427882,0.9532407407407408,7199.983,68.63333015585685,1.1438888359309476,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,3,False,432000,7561,424439,1.7502314814814814,7199.983,126.01666083254824,2.1002776805424705,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,4,True,432000,58903,373097,13.634953703703703,7199.983,981.7166212167159,16.361943686945263,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,5,False,432000,33734,398266,7.808796296296296,7199.983,562.2333073039522,9.370555121732536,60.00000277778433
dataset_1,DGRP774,CamB,2026-01-15T08,N/A,DGRP774_CamB_2026-01-15T08_25_18_trajectories.csv,6,False,432000,45268,386732,10.478703703703705,7199.983,754.4666317375735,12.574443862292892,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,1,False,432000,44,431956,0.010185185185185184,7199.983,0.7333332993826375,0.012222221656377291,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,2,False,432000,115,431885,0.02662037037037037,7199.983,1.9166665779318934,0.031944442965531554,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,3,True,432000,151,431849,0.0349537037037037,7199.983,2.5166665501540515,0.04194444250256753,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,4,False,432000,126,431874,0.02916666666666667,7199.983,2.099999902777553,0.034999998379625884,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,5,False,432000,89,431911,0.02060185185185185,7199.983,1.483333264660335,0.02472222107767225,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-12T13,N/A,DGRP859_CamA_2026-01-12T13_04_58_trajectories.csv,6,False,432000,97,431903,0.022453703703703705,7199.983,1.6166665918208145,0.026944443197013574,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,1,True,432000,45502,386498,10.53287037037037,7199.983,758.3666315570175,12.639443859283626,60.00000277778433
dataset_1,DGRP859,CamA,2026-01-15T13,N/A,DGRP859_CamA_2026-01-15T13_40_51_trajectories.csv,2,False,432000,103,431897,0.023842592592592592,7199.983,1.7166665871911742,0.02861110978651957,60.00000277778433
